wd:Q21790317	wd:Q184358	Post Office Bar	reef
wd:Q21712458	wd:Q184358	Matanilla Reef	reef
wd:Q21712608	wd:Q184358	Pierre Reef	reef
wd:Q21712714	wd:Q184358	Rompidas	reef
wd:Q21713872	wd:Q184358	Dangerous Shoals	reef
wd:Q20967939	wd:Q184358	$null$	reef
wd:Q20949639	wd:Q184358	Merkanti Reef	reef
wd:Q21027416	wd:Q184358	$null$	reef
wd:Q21052043	wd:Q184358	$null$	reef
wd:Q21052056	wd:Q184358	$null$	reef
wd:Q21052071	wd:Q184358	$null$	reef
wd:Q21052294	wd:Q184358	$null$	reef
wd:Q21052431	wd:Q184358	$null$	reef
wd:Q21052590	wd:Q184358	$null$	reef
wd:Q21052621	wd:Q184358	$null$	reef
wd:Q21052714	wd:Q184358	$null$	reef
wd:Q21414924	wd:Q184358	Barra da Chicala	reef
wd:Q21713879	wd:Q184358	Deadman's Cays	reef
wd:Q21582795	wd:Q184358	Qanţarat al Milḩ	reef
wd:Q21587270	wd:Q184358	Banc Charner	reef
wd:Q21712559	wd:Q184358	Nurse Spit	reef
wd:Q21735790	wd:Q184358	Ruqq Musfayr	reef
wd:Q21714005	wd:Q184358	Golden Rock	reef
wd:Q21733027	wd:Q184358	Walters Shoal	reef
wd:Q21712493	wd:Q184358	Mucaras Reef	reef
wd:Q21746091	wd:Q184358	Cobblers Reef	reef
wd:Q21713491	wd:Q184358	Quintus Bar	reef
wd:Q21735148	wd:Q184358	Beech Bank	reef
wd:Q21411542	wd:Q184358	Barra do Dande	reef
wd:Q21409637	wd:Q184358	Barra da Carimba	reef
wd:Q21712891	wd:Q184358	Southwest Reef	reef
wd:Q21712892	wd:Q184358	Southwest Reef	reef
wd:Q21732994	wd:Q184358	Fasht Umm Jannah	reef
wd:Q21601149	wd:Q184358	Lighthouse Reef	reef
wd:Q21745906	wd:Q184358	Sarwar Sand	reef
wd:Q21746080	wd:Q184358	Bow Bells Reef	reef
wd:Q20984274	wd:Q184358	Ganh Da Dia	reef
wd:Q21714138	wd:Q184358	Jamaica Spit	reef
