c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:matrOrganicCompound/PolychlorinatedBiphenyl	polychlorinated biphenyl	wd:Q211171	polychlorinated biphenyl	sweet:matrOrganicCompound/OrganicCompound	organic compound	wd:Q56256086	group of chemical compounds	high		polychlorinated biphenyl		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrOrganicCompound/Xylene	xylene	wd:Q208366	xylene	sweet:matrOrganicCompound/Hydrocarbon	hydrocarbon	wd:Q15711994	family of isomeric compounds	high		xylene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrPlant/Liverwort	liverwort	wd:Q189808	liverwort	sweet:matrPlant/Plant	plant	wd:Q16521	taxon	high		liverwort		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrRockIgneous/IntrusiveRock	intrusive rock	wd:Q354025	intrusive rock	sweet:matrRockIgneous/IgneousRock	igneous rock	wd:Q42045	igneous rock	high		intrusive rock		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrRockIgneous/VolcanicCone	volcanic cone	wd:Q31469534	Volcanic Cone	sweet:matrRockIgneous/VolcanicRock	volcanic rock	wd:Q8502	mountain	high		volcanic cone		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrSediment/Bentonite	bentonite	wd:Q380149	bentonite	sweet:matrSediment/Clay	clay	wd:Q11173	chemical compound	high		bentonite		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrSediment/MarineSediment	marine sediment	wd:Q1898474	marine sediment	sweet:matrSediment/Sediment	sediment	wd:Q180184	sediment	high		marine sediment		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrSediment/Varve	varve	wd:Q835591	Varve	sweet:matrSediment/Sediment	sediment	wd:Q180184	sediment	high		varve		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrWater/LiquidWater	liquid water	wd:Q29053744	liquid water	sweet:matrWater/WaterSubstance	water substance	wd:Q12140|wd:Q146505|wd:Q25403900	medication|solvent|food ingredient	high		liquid water		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:matrWater/WaterVapor	water vapor	wd:Q190120	water vapor	sweet:matrWater/WaterSubstance	water substance	wd:Q11430	state of matter	high		water vapor		[info(label,label,downcase)]	[info(label,label,downcase)]								
