c1		c2		c1parents		c2parents		conf		match		info		alt_c1		alt_c2		ignored_c1		ignored_c2	
sweet:reprSpaceCoordinate/NorthMagneticPole	north magnetic pole	wd:Q842763	North Magnetic Pole	sweet:reprSpaceCoordinate/MagneticPole	magnetic pole	wd:Q2221906|wd:Q63245279	geographic location|Earth's magnetic pole	high		north magnetic pole		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceCoordinate/PrimeMeridian	prime meridian	wd:Q3401774	prime meridian	sweet:reprSpaceCoordinate/Meridian	meridian			high		prime meridian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceCoordinate/SouthMagneticPole	south magnetic pole	wd:Q1043682	South Magnetic Pole	sweet:reprSpaceCoordinate/MagneticPole	magnetic pole	wd:Q2221906|wd:Q63245279	geographic location|Earth's magnetic pole	high		south magnetic pole		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceGeometry/Hyperplane	hyperplane	wd:Q657586	hyperplane	sweet:reprSpaceGeometry/GeometricalObject	geometrical object	wd:Q21550639	geometric concept	high		hyperplane		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceGeometry3D/ReferenceEllipsoid	reference ellipsoid	wd:Q1335878	reference ellipsoid	sweet:reprSpaceGeometry3D/Ellipsoid	ellipsoid	wd:Q1203807|wd:Q1979154|wd:Q208395	Earth ellipsoid|model|spheroid	high		reference ellipsoid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceGeometry3D/Spheroid	spheroid	wd:Q208395	spheroid	sweet:reprSpaceGeometry3D/GeometricalObject_3D	geometrical object 3d			high		spheroid		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceReferenceSystem/SpatialReferenceSystem	spatial reference system	wd:Q161779	spatial reference system	sweet:repr/ReferenceFrame	reference frame	wd:Q184876	frame of reference	high		spatial reference system		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprSpaceReferenceSystem/UniversalTransverseMercator	universal transverse mercator	wd:Q588975	Universal Transverse Mercator	sweet:reprSpaceReferenceSystem/HorizontalCoordinateSystem	horizontal coordinate system	wd:Q11210	coordinate system	high		universal transverse mercator		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprTime/SolarTime	solar time	wd:Q192854	solar time	sweet:reprTime/LocalTime	local time	wd:Q6313217	time standard	high		solar time		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprTime/TemporalEntity	temporal entity	wd:Q26907166	temporal entity	sweet:reprMath/NumericalEntity	numerical entity			high		temporal entity		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprTime/UniversalTime	universal time	wd:Q874572	universal time	sweet:reprTime/TimeZone	time zone	wd:Q6313217	time standard	high		universal time		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprTimeSeason/DrySeason	dry season	wd:Q146575	dry season	sweet:reprTimeSeason/Season	season	wd:Q24384	season	high		dry season		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:reprTimeSeason/JuneSolstice	june solstice	wd:Q6312465	June solstice	sweet:reprTimeSeason/Solstice	solstice	wd:Q14795564	point in time with respect to recurrent timeframe	high		june solstice		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:statePhysical/PhysicalState	physical state	wd:Q230855	physical state	sweet:state/State	state	wd:Q151885|wd:Q937228	concept|property	high		physical state		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:statePhysical/StateOfMatter	state of matter	wd:Q11430	state of matter	sweet:statePhysical/PhysicalState	physical state	wd:Q4373292	physical property	high		state of matter		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateRoleBiological/Autotroph	autotroph	wd:Q131427	autotroph	sweet:stateRoleBiological/BiologicalRole	biological role	wd:Q902805	primary nutritional group	high		autotroph		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateRoleBiological/SpawningGround	spawning ground	wd:Q12059609	spawning ground	sweet:stateRoleBiological/Habitat	habitat	wd:Q17334923	location	high		spawning ground		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSpaceConfiguration/Interwoven	interwoven	wd:Q6057450	Interwoven	sweet:propSpace/Connectivity	connectivity	wd:Q1058914|wd:Q1344636	software company|Enterprise Content Management system	high		interwoven		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSpaceConfiguration/Sealed	sealed	wd:Q11308928	Sealed	sweet:propSpace/Connectivity	connectivity	wd:Q394970	box set	high		sealed		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSpectralBand/KaBand	ka band	wd:Q967772	Ka band	sweet:propOrdinal/SpectralBand	spectral band	wd:Q16023911	frequency range	high		ka band		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSpectralBand/SBand	s band	wd:Q2018880	S band	sweet:propOrdinal/SpectralBand	spectral band	wd:Q16023911	frequency range	high		s band		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSpectralBand/XBand	x band	wd:Q1190763	X band	sweet:propOrdinal/SpectralBand	spectral band	wd:Q16023911	frequency range	high		x band		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateStorm/EnhancedFujitaScale	enhanced fujita scale	wd:Q429050	Enhanced Fujita scale	sweet:stateStorm/TornadoScale	tornado scale	wd:Q1370617|wd:Q22298492|wd:Q22298551	measurement scale|hazard scale|meteorological index	high		enhanced fujita scale		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSystem/Hysteresis	hysteresis	wd:Q190837	hysteresis	sweet:stateSystem/SystemState	system state	wd:Q483247	phenomenon	high		hysteresis		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSystem/Inactive	inactive	wd:Q29415492	inactive	sweet:propOrdinal/ActivityLevel	activity level	wd:Q3505845	state	high		inactive		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateSystem/Stochastic	stochastic	wd:Q1071239	stochastic	sweet:stateSystem/SystemState	system state	wd:Q937228	property	high		stochastic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateThermodynamic/BlackBody	black body	wd:Q161424	black body	sweet:stateThermodynamic/ThermodynamicState	thermodynamic state	wd:Q193946	scientific model	high		black body		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeCycle/MaunderMinimum	maunder minimum	wd:Q827568	Maunder Minimum	sweet:stateTimeCycle/SolarMinimum	solar minimum	wd:Q2314257	Solar minimum	high		maunder minimum		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeCycle/SolarMinimum	solar minimum	wd:Q2314257	Solar minimum	sweet:stateTimeCycle/OscillationState	oscillation state			high		solar minimum		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Aalenian	aalenian	wd:Q300887	Aalenian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		aalenian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Anisian	anisian	wd:Q549024	Anisian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		anisian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Aptian	aptian	wd:Q622265	Aptian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		aptian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Artinskian	artinskian	wd:Q713094	Artinskian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		artinskian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Asselian	asselian	wd:Q740340	Asselian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		asselian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Bajocian	bajocian	wd:Q375180	Bajocian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		bajocian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Barremian	barremian	wd:Q732702	Barremian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		barremian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Bartonian	bartonian	wd:Q508675	Bartonian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		bartonian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Bashkirian	bashkirian	wd:Q639443	Bashkirian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		bashkirian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/BasinGroups	basin groups	wd:Q2126871	Basin Groups	sweet:stateTime/Era	era	wd:Q2040803	geological era	high		basin groups		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Bathonian	bathonian	wd:Q791313	Bathonian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		bathonian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Berriasian	berriasian	wd:Q663355	Berriasian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		berriasian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Burdigalian	burdigalian	wd:Q508650	Burdigalian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		burdigalian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Callovian	callovian	wd:Q764255	Callovian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		callovian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Calymmian	calymmian	wd:Q876805	Calymmian	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		calymmian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Campanian	campanian	wd:Q492941	Campanian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		campanian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Capitanian	capitanian	wd:Q858203	Capitanian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		capitanian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Carnian	carnian	wd:Q911899	Carnian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		carnian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Cenomanian	cenomanian	wd:Q185567	Cenomanian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		cenomanian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Cenozoic	cenozoic	wd:Q102416	Cenozoic	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		cenozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Changhsingian	changhsingian	wd:Q860048	Changhsingian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		changhsingian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Chattian	chattian	wd:Q502171	Chattian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		chattian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Cisuralian	cisuralian	wd:Q642169	Cisuralian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		cisuralian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Coniacian	coniacian	wd:Q645398	Coniacian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		coniacian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Cryogenian	cryogenian	wd:Q507402	Cryogenian	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		cryogenian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Dapingian	dapingian	wd:Q288112	Dapingian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		dapingian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Darriwilian	darriwilian	wd:Q1032866	Darriwilian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		darriwilian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Drumian	drumian	wd:Q43712	Drumian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		drumian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Ectasian	ectasian	wd:Q367597	Ectasian	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		ectasian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Eifelian	eifelian	wd:Q730523	Eifelian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		eifelian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Emsian	emsian	wd:Q576789	Emsian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		emsian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Eoarchean	eoarchean	wd:Q731470	Eoarchean	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		eoarchean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Eocene	eocene	wd:Q76274	Eocene	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		eocene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Famennian	famennian	wd:Q253839	Famennian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		famennian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Floian	floian	wd:Q10528257	Floian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		floian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Fortunian	fortunian	wd:Q1424618	Fortunian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		fortunian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Frasnian	frasnian	wd:Q264200	Frasnian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		frasnian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Furongian	furongian	wd:Q1269670	Furongian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		furongian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Gelasian	gelasian	wd:Q428579	Gelasian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		gelasian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Givetian	givetian	wd:Q650845	Givetian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		givetian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Gorstian	gorstian	wd:Q752878	Gorstian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		gorstian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Guadalupian	guadalupian	wd:Q1077376	Guadalupian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		guadalupian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Guzhangian	guzhangian	wd:Q43667	Guzhangian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		guzhangian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Gzhelian	gzhelian	wd:Q1030848	Gzhelian	sweet:stateTime/Age	age	wd:Q568683|wd:Q1123245	geological age|stage	high		gzhelian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Hadean	hadean	wd:Q104460	Hadean	sweet:stateTime/Eon	eon	wd:Q108256|wd:Q2669627	geological eon|eonothem	high		hadean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Hauterivian	hauterivian	wd:Q734179	Hauterivian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		hauterivian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Hettangian	hettangian	wd:Q633834	Hettangian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		hettangian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Homerian	homerian	wd:Q753045	Homerian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		homerian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Induan	induan	wd:Q855153	Induan	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		induan		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Kasimovian	kasimovian	wd:Q545853	Kasimovian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		kasimovian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Katian	katian	wd:Q1736601	Katian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		katian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Kimmeridgian	kimmeridgian	wd:Q733565	Kimmeridgian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		kimmeridgian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Kungurian	kungurian	wd:Q1073812	Kungurian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		kungurian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Ladinian	ladinian	wd:Q726791	Ladinian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		ladinian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Langhian	langhian	wd:Q167254	Langhian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		langhian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Lochkovian	lochkovian	wd:Q1089613	Lochkovian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		lochkovian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Lopingian	lopingian	wd:Q1077390	Lopingian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		lopingian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/LowerDevonian	lower devonian	wd:Q731293	Lower Devonian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		lower devonian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/LowerOrdovician	lower ordovician	wd:Q10739169	Lower Ordovician	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		lower ordovician		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Ludfordian	ludfordian	wd:Q912190	Ludfordian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		ludfordian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Lutetian	lutetian	wd:Q514893	Lutetian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		lutetian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Mesoarchean	mesoarchean	wd:Q607992	Mesoarchean	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		mesoarchean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Mesoproterozoic	mesoproterozoic	wd:Q210611	Mesoproterozoic	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		mesoproterozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Mesozoic	mesozoic	wd:Q83222	Mesozoic	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		mesozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Messinian	messinian	wd:Q508465	Messinian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		messinian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/MiddleDevonian	middle devonian	wd:Q731313	Middle Devonian	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		middle devonian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/MiddleJurassic	middle jurassic	wd:Q500054	Middle Jurassic	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		middle jurassic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/MiddleOrdovician	middle ordovician	wd:Q13389102	Middle Ordovician	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		middle ordovician		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/MiddleTriassic	middle triassic	wd:Q929395	Middle Triassic	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		middle triassic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Nectarian	nectarian	wd:Q1030016	Nectarian	sweet:stateTime/Era	era	wd:Q2040803	geological era	high		nectarian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Neoarchean	neoarchean	wd:Q645135	Neoarchean	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		neoarchean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Neoproterozoic	neoproterozoic	wd:Q191935	Neoproterozoic	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		neoproterozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Olenekian	olenekian	wd:Q914322	Olenekian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		olenekian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Oligocene	oligocene	wd:Q101873	Oligocene	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		oligocene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Orosirian	orosirian	wd:Q597383	Orosirian	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		orosirian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Paibian	paibian	wd:Q2060764	Paibian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		paibian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Paleoarchean	paleoarchean	wd:Q738167	Paleoarchean	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		paleoarchean		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Paleogene	paleogene	wd:Q55810	Paleogene	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		paleogene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Paleoproterozoic	paleoproterozoic	wd:Q193738	Paleoproterozoic	sweet:stateTime/Era	era	wd:Q2464485|wd:Q630830	erathem|era	high		paleoproterozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Phanerozoic	phanerozoic	wd:Q101313	Phanerozoic	sweet:stateTime/Eon	eon	wd:Q108256|wd:Q2669627	geological eon|eonothem	high		phanerozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Piacenzian	piacenzian	wd:Q514873	Piacenzian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		piacenzian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Pleistocene	pleistocene	wd:Q25546	Pleistocene	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		pleistocene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Pliensbachian	pliensbachian	wd:Q540479	Pliensbachian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		pliensbachian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Pliocene	pliocene	wd:Q76259	Pliocene	sweet:stateTime/Epoch	epoch	wd:Q312468|wd:Q754897	series|geological epoch	high		pliocene		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Pragian	pragian	wd:Q1089625	Pragian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		pragian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Priabonian	priabonian	wd:Q508438	Priabonian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		priabonian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Proterozoic	proterozoic	wd:Q104162	Proterozoic	sweet:stateTime/Eon	eon	wd:Q108256|wd:Q2669627	geological eon|eonothem	high		proterozoic		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Rhuddanian	rhuddanian	wd:Q260369	Rhuddanian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		rhuddanian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Rhyacian	rhyacian	wd:Q870511	Rhyacian	sweet:stateTime/Period	period	wd:Q392928|wd:Q403523	geological period|system	high		rhyacian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Roadian	roadian	wd:Q1051453	Roadian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		roadian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Rupelian	rupelian	wd:Q508633	Rupelian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		rupelian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Sakmarian	sakmarian	wd:Q912962	Sakmarian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		sakmarian		[info(label,label,downcase)]	[info(label,label,downcase)]								
sweet:stateTimeGeologic/Sandbian	sandbian	wd:Q1807140	Sandbian	sweet:stateTime/Age	age	wd:Q1123245|wd:Q568683	stage|geological age	high		sandbian		[info(label,label,downcase)]	[info(label,label,downcase)]								
