
obo:GAZ_00004599	Merivale Road	obo:GAZ_00494720	Civil Parish of Rode
obo:GAZ_00004603	Central Experimental Farm	obo:ENVO_00000078	farm
obo:GAZ_00004689	East China Sea	obo:ENVO_00000016	sea
obo:GAZ_00004690	Yellow Sea	obo:ENVO_00000016	sea
obo:GAZ_00004835	Bedgebury National Pinetum	obo:ENVO_00010624	botanical garden
obo:GAZ_00005027	Marie-Galante	obo:ENVO_00000098	island
obo:GAZ_00005071	Ynyslas Sand Dunes	obo:ENVO_00000170	dune
obo:GAZ_00005106	Ubangi River	obo:ENVO_00000022	river
obo:GAZ_00005184	Bougainville Island	obo:ENVO_00000098	island
obo:GAZ_00005312	Sabie River	obo:ENVO_00000022	river
obo:GAZ_00005313	Lake Sibhayi	obo:ENVO_00000020	lake
obo:GAZ_00005326	Society Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00005332	Kungsbacka Fjord	obo:ENVO_00000039	fjord
obo:GAZ_00005397	Spitzbergen	obo:ENVO_00000098	island
obo:GAZ_00005398	Nordaustlandet	obo:ENVO_00000098	island
obo:GAZ_00005467	Jardin Exotique de Monaco	obo:ENVO_00010624	botanical garden
obo:GAZ_00005495	Kathmandu Valley	obo:ENVO_00000100	valley
obo:GAZ_00005496	Taudaha Lake	obo:ENVO_00000020	lake
obo:GAZ_00005642	Lolomo	obo:ENVO_00000029	watercourse
obo:GAZ_00005728	Jaruco	obo:GAZ_00022846	Municipality of Cuba
obo:GAZ_00005772	Boyeros	obo:GAZ_00022846	Municipality of Cuba
obo:GAZ_00005808	Glorioso Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00005826	Franz Josef Land	obo:ENVO_00000220	archipelago
obo:GAZ_00005837	Peter I Island	obo:ENVO_00000098	island
obo:GAZ_00005838	Clipperton Island	obo:ENVO_00000098	island
obo:GAZ_00005838	Clipperton Island	obo:ENVO_00000166	atoll
obo:GAZ_00005846	Petit Colombier	obo:ENVO_00000098	island
obo:GAZ_00005855	Diomede Islands	obo:ENVO_00000098	island
obo:GAZ_00005855	Diomede Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00005868	Minami-Tori-shima	obo:ENVO_00000098	island
obo:GAZ_00005870	Socotra Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00005872	Abd al Kuri	obo:ENVO_00000098	island
obo:GAZ_00005873	Samhah	obo:ENVO_00000098	island
obo:GAZ_00005874	Darsah	obo:ENVO_00000098	island
obo:GAZ_00005876	Hanish Islands	obo:ENVO_00000247	volcano
obo:GAZ_00005879	Zuqar Island	obo:ENVO_00000098	island
obo:GAZ_00005889	Cayos de Albuquerque	obo:ENVO_00000098	island
obo:GAZ_00005898	Serranilla Bank	obo:ENVO_00000098	island
obo:GAZ_00005902	Ashmore Reef	obo:ENVO_00000130	rocky reef
obo:GAZ_00005904	Cartier Island	obo:ENVO_00000098	island
obo:GAZ_00005921	Celtic Sea	obo:ENVO_00000016	sea
obo:GAZ_00005925	Malay Archipelago	obo:ENVO_00000220	archipelago
obo:GAZ_00006253	Mendenhall Glacier	obo:ENVO_00000133	glacier
obo:GAZ_00006387	Napeague Beach	obo:ENVO_00000091	beach
obo:GAZ_00006518	Dobersdorfer See	obo:ENVO_00000020	lake
obo:GAZ_00006705	Lac de Blanchemer	obo:ENVO_00000488	glacial lake
obo:GAZ_00006745	Mont Verdun	obo:ENVO_00000083	hill
obo:GAZ_00006824	Cirque de Cilaos	obo:ENVO_00000096	caldera
obo:GAZ_00006908	Saint Kitts	obo:ENVO_00000098	island
obo:GAZ_00006937	Bahrain Island	obo:ENVO_00000098	island
obo:GAZ_00006941	Umm an Nasan	obo:ENVO_00000098	island
obo:GAZ_00006946	Tarout Island	obo:ENVO_00000098	island
obo:GAZ_00006955	Rebun Island	obo:ENVO_00000098	island
obo:GAZ_00006976	Tokashiki Island	obo:ENVO_00000098	island
obo:GAZ_00006993	Senkaku Islands	obo:ENVO_00000220	archipelago
obo:GAZ_00007047	Inchcolm	obo:ENVO_00000098	island
obo:GAZ_00007048	Eyebroughy	obo:ENVO_00000098	island
obo:GAZ_00007050	Cramond Island	obo:GAZ_00118321	Tidal Island
obo:GAZ_00007053	Inchkeith	obo:ENVO_00000098	island
obo:GAZ_00007054	Inchmickery	obo:ENVO_00000098	island
obo:GAZ_00007056	Isle of May	obo:ENVO_00000098	island
obo:GAZ_00007059	Cape Breton Island	obo:ENVO_00000098	island
obo:GAZ_00007063	Chappaquiddick Island	obo:ENVO_00000098	island
