obo:GAZ_00000341	Guinea Current	wd:Q1257727	Guinea Current	obo:GAZ_00000377	North Atlantic Ocean	wd:Q129558	ocean current	high		guinea current		info(label-label,rdf(obo:GAZ_00000341,rdfs:label,Guinea Current)-rdf(wd:Q1257727,rdfs:label,Guinea Current),downcase)									
obo:GAZ_00000346	California Current	wd:Q281655	California Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		california current		info(label-label,rdf(obo:GAZ_00000346,rdfs:label,California Current)-rdf(wd:Q281655,rdfs:label,California Current),downcase)									
obo:GAZ_00000347	Equatorial Counter Current	wd:Q143936	Equatorial Counter Current	obo:GAZ_00000345|obo:GAZ_00000361	Pacific Ocean current|Indian Ocean current	wd:Q53019432	oceanic countercurrent	high		equatorial counter current		info(label-label,rdf(obo:GAZ_00000347,rdfs:label,Equatorial Counter Current)-rdf(wd:Q143936,rdfs:label,Equatorial Counter Current),downcase)									
obo:GAZ_00000349	Kuroshio Current	wd:Q53842	Kuroshio Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		kuroshio current		info(label-label,rdf(obo:GAZ_00000349,rdfs:label,Kuroshio Current)-rdf(wd:Q53842,rdfs:label,Kuroshio Current),downcase)									
obo:GAZ_00000350	Kamchatka Current	wd:Q1072729	Kamchatka Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		kamchatka current		info(label-label,rdf(obo:GAZ_00000350,rdfs:label,Kamchatka Current)-rdf(wd:Q1072729,rdfs:label,Kamchatka Current),downcase)									
obo:GAZ_00000351	Cromwell Current	wd:Q1190478	Cromwell current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		cromwell current		info(label-label,rdf(obo:GAZ_00000351,rdfs:label,Cromwell Current)-rdf(wd:Q1190478,rdfs:label,Cromwell current),downcase)									
obo:GAZ_00000352	East Australian Current	wd:Q143917	East Australian Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		east australian current		info(label-label,rdf(obo:GAZ_00000352,rdfs:label,East Australian Current)-rdf(wd:Q143917,rdfs:label,East Australian Current),downcase)									
obo:GAZ_00000353	Mindanao Current	wd:Q3752376	Mindanao Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		mindanao current		info(label-label,rdf(obo:GAZ_00000353,rdfs:label,Mindanao Current)-rdf(wd:Q3752376,rdfs:label,Mindanao Current),downcase)									
obo:GAZ_00000355	Alaska Current	wd:Q1902975	Alaska Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		alaska current		info(label-label,rdf(obo:GAZ_00000355,rdfs:label,Alaska Current)-rdf(wd:Q1902975,rdfs:label,Alaska Current),downcase)									
obo:GAZ_00000356	South Equatorial Current	wd:Q1072306	South Equatorial Current	obo:GAZ_00000361|obo:GAZ_00000345	Indian Ocean current|Pacific Ocean current	wd:Q129558	ocean current	high		south equatorial current		info(label-label,rdf(obo:GAZ_00000356,rdfs:label,South Equatorial Current)-rdf(wd:Q1072306,rdfs:label,South Equatorial Current),downcase)									
obo:GAZ_00000357	Oyashio Current	wd:Q58440	Oyashio Current	obo:GAZ_00000345	Pacific Ocean current	wd:Q129558	ocean current	high		oyashio current		info(label-label,rdf(obo:GAZ_00000357,rdfs:label,Oyashio Current)-rdf(wd:Q58440,rdfs:label,Oyashio Current),downcase)									
obo:GAZ_00000360	Pacific Ocean	wd:Q98	Pacific Ocean	obo:GAZ_00051073	Pacific Ocean region	wd:Q9430	ocean	high		pacific ocean		info(label-label,rdf(obo:GAZ_00000360,rdfs:label,Pacific Ocean)-rdf(wd:Q98,rdfs:label,Pacific Ocean),downcase)									
obo:GAZ_00000362	Madagascar Current	wd:Q58736	Madagascar Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		madagascar current		info(label-label,rdf(obo:GAZ_00000362,rdfs:label,Madagascar Current)-rdf(wd:Q58736,rdfs:label,Madagascar Current),downcase)									
obo:GAZ_00000363	Somali Current	wd:Q1267550	Somali Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		somali current		info(label-label,rdf(obo:GAZ_00000363,rdfs:label,Somali Current)-rdf(wd:Q1267550,rdfs:label,Somali Current),downcase)									
obo:GAZ_00000364	East Madagascar Current	wd:Q1279906	East Madagascar Current	obo:GAZ_00000361	Indian Ocean current	wd:Q129558	ocean current	high		east madagascar current		info(label-label,rdf(obo:GAZ_00000364,rdfs:label,East Madagascar Current)-rdf(wd:Q1279906,rdfs:label,East Madagascar Current),downcase)									
